Cell#,Type,ID,Purpose,Preview
1,markdown,c90920ac,Project Header/Title/TOC,# Real Estate Price Prediction - Complete Project Deliverable
2,markdown,cfc7c90a,Project Header/Title/TOC,**Team**: The Outliers  
3,markdown,8cabc0bb,Project Header/Title/TOC,## Team Members
4,markdown,35a9c874,Project Header/Title/TOC,## Project Overview
5,markdown,377ced68,Project Header/Title/TOC,## Table of Contents
6,markdown,275d980c,Project Header/Title/TOC,---
7,markdown,beb405c6,Library Import Documentation,---
8,code,2414f3d9,Import Libraries,# Import required libraries
9,markdown,9a05de56,Library Import Documentation,## 1.2 Dataset Import
10,code,2c4e0b46,Load Raw Dataset,# Define data path
11,markdown,007a5e46,Phase 1 Header/Description,---
12,markdown,f5a25da3,Phase 2A Header/Description,<a id='phase2a'></a>
13,markdown,2ae1fed7,Outlier Detection Description,### ===============================================
14,markdown,c86f084c,Library Import Documentation,#### Import Dependencies
15,markdown,e1dfcbe6,Library Import Documentation,#### Dataset Import
16,markdown,123c0e34,Documentation/Explanation,#### Verify Data Schema
17,code,a18aabf6,Verify Schema,"print(""\nColumn Names:\n"", df.columns.tolist())"
18,markdown,bee651c4,Documentation/Explanation,#### Basic Sanity Checks
19,code,b92d3210,Code Execution,# Check how many columns have at least one missing (NaN) value.
20,markdown,7c320a86,Phase Summary,#### Save Metadata Summary
21,code,31ae20d9,Analyze Missing Values,# Create a small reference table (DataFrame) that captures key information 
22,markdown,381b3437,Documentation/Explanation,#### Cross-Check with Data Dictionary
23,code,d585f652,Load Data Dictionary,# Load the data dictionary Excel file
24,markdown,86750a40,Phase 2B Header/Description,<a id='phase2b'></a>
25,markdown,5781c385,Outlier Detection Description,### ===============================================
26,markdown,6a87e788,Library Import Documentation,#### Notebook Header + Imports
27,code,cd4ea1ed,Code Execution,# Display basic info
28,markdown,d356370a,Phase Summary,"#### Data Types, Summary Statistics & Missing Value Overview"
29,code,5b0355b2,Code Execution,
30,code,6a5050f0,Summary Statistics,# 2️⃣ Quick statistical summary of numeric columns
31,code,f9ba74cf,Code Execution,# 3️⃣ Summary of data types (to know how many are numeric vs categorical)
32,code,286ae079,Analyze Missing Values,# 4️⃣ Check missing values in each column (sorted descending)
33,markdown,7b4d4b2b,Documentation/Explanation,"- Columns like Pool QC, Alley, Misc Feature, Fence have >80% missing values — ca..."
34,markdown,84948b9c,Missing Value Methodology,#### Missing Value Visualization
35,code,ab09f7ad,Visualize Missing Data,import missingno as msno
36,markdown,6957dd29,Documentation/Explanation,#### Matrix View 
37,code,36dbdee0,Code Execution,# Visualize missing data as a bar chart
38,markdown,c0afeda9,Documentation/Explanation,### Bar View
39,markdown,9867248b,Missing Value Methodology,#### Handle Missing Values (Drop + Impute)
40,code,91e099d7,Drop High-Missing Columns,# 1️⃣ Drop columns with too many missing values (>80%)
41,code,18655188,Impute Categorical (None),# 2️⃣ Impute categorical columns based on meaning
42,code,d036d48a,Impute Numeric (Zero),# 3️⃣ Impute numerical columns (fill missing with 0 for areas / counts)
43,code,67be4677,Impute Lot Frontage by Neighborhood,# 4️⃣ Impute Lot Frontage with median per neighborhood (since it depends on loca...
44,code,c14413e3,Impute Electrical (Mode),# 5️⃣ Electrical has one missing value; fill with mode
45,code,bda588e6,Analyze Missing Values,# ✅ Verify no missing values remain
46,markdown,fbc03973,Univariate Analysis Description,#### Univariate Analysis – Numerical Features
47,code,d4803a9c,Verify Schema,# Select only numeric columns for visualization
48,code,9e248958,Code Execution,"# Exclude identifier columns (Order, PID)"
49,code,4499d64f,Code Execution,# Plot histograms for numerical features
50,markdown,324193ce,Results Interpretation,| Feature                            | Distribution Shape   | Interpretation    ...
51,markdown,13985d73,Univariate Analysis Description,#### Univariate Analysis (Categorical Features)
52,code,eaec9302,Verify Schema,# Select only categorical columns
53,markdown,908152e7,Results Interpretation,in the dataset using count plots to understand their frequency distributions and...
54,markdown,e1fd8fc8,Documentation/Explanation,#### Drop Uninformative Categorical Features
55,code,90bace10,Drop Low-Variance Categoricals,# Features dominated by one category (low information)
56,markdown,0c12c598,Documentation/Explanation,| Step                     | Action                                             ...
57,markdown,90209789,Bivariate Analysis Description,#### Bivariate Analysis (Correlation & Price Relationships)
58,code,bd797db0,Correlation Heatmap,# Compute correlation matrix for numeric features
59,markdown,01b38d3c,Bivariate Analysis Description,we examined the pairwise correlations between numerical variables and the target...
60,markdown,e9480fcf,Bivariate Analysis Description,#### Bivariate Visualizations (Numeric vs. SalePrice)
61,code,23353d02,Scatter Plots vs SalePrice,# List of top continuous features to visualize
62,markdown,9c8c47bf,Documentation/Explanation,
63,markdown,1d3fd30c,Bivariate Analysis Description,### 📈 **Bivariate Analysis – Continuous Features vs. SalePrice**
64,markdown,e4c0c9c4,Bivariate Analysis Description,### Boxplots for Categorical/Ordinal Features
65,code,cfb0c259,Boxplots: Categorical vs SalePrice,# Select important ordinal/categorical variables to visualize
66,markdown,353e2c72,Bivariate Analysis Description,🧩 **Interpretation: Categorical / Ordinal Features vs. SalePrice**
67,markdown,0987131a,Outlier Detection Description,### Outlier Detection using IQR (Interquartile Range) Method
68,code,f0a62b3e,Boxplots: Categorical vs SalePrice,# Select key numeric columns for outlier analysis
69,markdown,4687756b,Phase Summary,
70,markdown,8737d6f9,Phase 2B Header/Description,<a id='setup'></a>
71,markdown,6431974a,Documentation/Explanation,---
72,code,9e9fe6de,Create Engineered Features,# ============================================
73,code,008f6661,Apply Log Transformations,# ============================================
74,code,baa6aa4e,Verify Schema,# ============================================
75,markdown,95ee1b3c,Bivariate Analysis Description,---
76,code,c8a96e37,Code Execution,# ============================================
77,code,1967c0bb,Calculate Feature Importance,# ============================================
78,markdown,291d33aa,Bivariate Analysis Description,---
79,code,6e1ef5c9,Create Engineered Features,# ============================================
80,markdown,66187f39,Documentation/Explanation,---
81,code,8716a047,Load Engineered Dataset,# ============================================
82,markdown,4a9b0e5a,Phase 3 Header/Description,---
83,markdown,604bc828,Phase 2A Header/Description,---
84,markdown,phase3-separator,Phase 3 Header/Description,---
85,markdown,setup-header,Library Import Documentation,## Step 1: Setup & Import Libraries
86,code,imports,Import Libraries,# Import necessary libraries
87,markdown,load-data-header,Documentation/Explanation,---
88,code,load-data,Load Engineered Dataset,# Load the engineered dataset from Phase 2C
89,markdown,z9gzkxe635,Missing Value Methodology,---
90,code,9gg25rq5onu,Analyze Missing Values,# Identify columns with missing values
91,markdown,s3ajndq6dc,Missing Value Methodology,### 🔎 Analysis of Missing Values
92,code,aasdg0yg16b,Summary Statistics,# Get the 3 rows with missing Lot Frontage
93,markdown,oa8lbu1gm7,Documentation/Explanation,### ⚠️ Issue Found: Neighborhood median calculation returned NaN
94,code,qgvkrrf2qog,Code Execution,# Properly investigate neighborhoods with missing values
95,markdown,ssr7vzantl,Missing Value Methodology,---
96,code,l8ozp69gf9i,Analyze Missing Values,# Handle missing values by imputing with overall median
97,markdown,itkr23sbu8,Documentation/Explanation,---
98,code,fl1n5ac7uss,Analyze Missing Values,# Prepare features and target variable
99,markdown,s5aqhui7mw9,Documentation/Explanation,---
100,code,r9d302fc83,Train-Test Split (80/20),# Split data into training and testing sets
101,markdown,igs6guxmy2r,Documentation/Explanation,---
102,code,qb6u0k2fzq,Identify Best Single Feature,# Step 7a: Identify the best single feature
103,markdown,aje7dq6nt6u,Documentation/Explanation,### 📈 Step 7b: Build and Train Simple Linear Regression
104,code,9m3nr1docpp,Train Simple Linear Regression,# Step 7b: Build and train Simple Linear Regression model
105,markdown,l2l8lcf4oi,Documentation/Explanation,### 📊 Step 7c: Evaluate Simple Linear Regression Performance
106,code,dpawz2bdsbh,"Evaluate Simple LR (R², RMSE, MAE)",# Step 7c: Evaluate Simple Linear Regression model
107,markdown,msh4veldt8,Documentation/Explanation,---
108,code,rppehytx7cs,Train Multiple Linear Regression,# Step 8a: Build and train Multiple Linear Regression model
109,markdown,9z7lig5ibzc,Documentation/Explanation,### 📊 Step 8b: Evaluate Multiple Linear Regression Performance
110,code,7y1u3z01fc,"Evaluate Multiple LR (R², RMSE, MAE)",# Step 8b: Evaluate Multiple Linear Regression model
111,markdown,iozv3spqsz,Documentation/Explanation,---
112,code,7x7d1jbnb8e,Compare Both Models,# Step 9: Model Comparison
